customer_id,age_group,age,gender,prompt,account_balance,loan_amount,loan_type,interest_rate,credit_limit,credit_balance,loan_status,risk_score
1,35-49: Established Professionals,45,Male,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 35-49: Established Professionals
- Age: 45 years
- Gender: Male
- Current Account Type: Current
- Account Balance: $1313.38
- Existing Loan: $32200.06 (Mortgage)
- Interest Rate: 2.64%
- Credit Limit: $1737.88
- Credit Card Balance: $4524.32
- Recent Transaction: Withdrawal of $1457.61

Age Group Statistics (for context):
- Average Account Balance: $5091.02
- Average Loan Amount: $25521.79
- Loan Approval Rate: 33.2%
- Average Interest Rate: 5.54%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",1313.38,32200.06,Mortgage,2.64,1737.88,4524.32,Rejected,60
2,35-49: Established Professionals,47,Female,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 35-49: Established Professionals
- Age: 47 years
- Gender: Female
- Current Account Type: Current
- Account Balance: $5988.46
- Existing Loan: $47743.52 (Auto)
- Interest Rate: 2.48%
- Credit Limit: $1799.36
- Credit Card Balance: $856.70
- Recent Transaction: Deposit of $1660.99

Age Group Statistics (for context):
- Average Account Balance: $5091.02
- Average Loan Amount: $25521.79
- Loan Approval Rate: 33.2%
- Average Interest Rate: 5.54%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",5988.46,47743.52,Auto,2.48,1799.36,856.7,Approved,0
3,25-34: Young Professionals,25,Female,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 25-34: Young Professionals
- Age: 25 years
- Gender: Female
- Current Account Type: Current
- Account Balance: $8277.88
- Existing Loan: $47981.31 (Auto)
- Interest Rate: 7.84%
- Credit Limit: $6112.96
- Credit Card Balance: $3242.36
- Recent Transaction: Deposit of $839.91

Age Group Statistics (for context):
- Average Account Balance: $5059.58
- Average Loan Amount: $26173.31
- Loan Approval Rate: 36.1%
- Average Interest Rate: 5.42%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",8277.88,47981.31,Auto,7.84,6112.96,3242.36,Closed,20
4,50-59: Pre-Retirement,52,Other,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 50-59: Pre-Retirement
- Age: 52 years
- Gender: Other
- Current Account Type: Savings
- Account Balance: $7487.21
- Existing Loan: $4482.80 (Personal)
- Interest Rate: 7.21%
- Credit Limit: $2069.41
- Credit Card Balance: $4329.17
- Recent Transaction: Withdrawal of $4908.89

Age Group Statistics (for context):
- Average Account Balance: $4996.84
- Average Loan Amount: $24784.39
- Loan Approval Rate: 33.3%
- Average Interest Rate: 5.66%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",7487.21,4482.8,Personal,7.21,2069.41,4329.17,Approved,30
5,60+: Retirement,68,Other,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 60+: Retirement
- Age: 68 years
- Gender: Other
- Current Account Type: Savings
- Account Balance: $6993.55
- Existing Loan: $1092.33 (Mortgage)
- Interest Rate: 5.37%
- Credit Limit: $2765.30
- Credit Card Balance: $25.72
- Recent Transaction: Transfer of $589.07

Age Group Statistics (for context):
- Average Account Balance: $5164.85
- Average Loan Amount: $24983.34
- Loan Approval Rate: 35.2%
- Average Interest Rate: 5.42%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",6993.55,1092.33,Mortgage,5.37,2765.3,25.72,Approved,10
6,50-59: Pre-Retirement,52,Male,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 50-59: Pre-Retirement
- Age: 52 years
- Gender: Male
- Current Account Type: Savings
- Account Balance: $9295.64
- Existing Loan: $48039.24 (Mortgage)
- Interest Rate: 1.45%
- Credit Limit: $8029.18
- Credit Card Balance: $1331.70
- Recent Transaction: Withdrawal of $4914.67

Age Group Statistics (for context):
- Average Account Balance: $4996.84
- Average Loan Amount: $24784.39
- Loan Approval Rate: 33.3%
- Average Interest Rate: 5.66%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",9295.64,48039.24,Mortgage,1.45,8029.18,1331.7,Closed,0
7,35-49: Established Professionals,43,Male,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 35-49: Established Professionals
- Age: 43 years
- Gender: Male
- Current Account Type: Current
- Account Balance: $4005.72
- Existing Loan: $27230.51 (Mortgage)
- Interest Rate: 5.25%
- Credit Limit: $2996.82
- Credit Card Balance: $1441.65
- Recent Transaction: Deposit of $3534.90

Age Group Statistics (for context):
- Average Account Balance: $5091.02
- Average Loan Amount: $25521.79
- Loan Approval Rate: 33.2%
- Average Interest Rate: 5.54%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",4005.72,27230.51,Mortgage,5.25,2996.82,1441.65,Approved,10
8,35-49: Established Professionals,47,Male,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 35-49: Established Professionals
- Age: 47 years
- Gender: Male
- Current Account Type: Savings
- Account Balance: $1458.45
- Existing Loan: $35319.63 (Mortgage)
- Interest Rate: 8.51%
- Credit Limit: $4470.78
- Credit Card Balance: $3450.21
- Recent Transaction: Deposit of $454.87

Age Group Statistics (for context):
- Average Account Balance: $5091.02
- Average Loan Amount: $25521.79
- Loan Approval Rate: 33.2%
- Average Interest Rate: 5.54%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",1458.45,35319.63,Mortgage,8.51,4470.78,3450.21,Approved,55
9,50-59: Pre-Retirement,52,Male,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 50-59: Pre-Retirement
- Age: 52 years
- Gender: Male
- Current Account Type: Current
- Account Balance: $1109.30
- Existing Loan: $45717.26 (Mortgage)
- Interest Rate: 1.10%
- Credit Limit: $4349.57
- Credit Card Balance: $3227.18
- Recent Transaction: Withdrawal of $768.56

Age Group Statistics (for context):
- Average Account Balance: $4996.84
- Average Loan Amount: $24784.39
- Loan Approval Rate: 33.3%
- Average Interest Rate: 5.66%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",1109.3,45717.26,Mortgage,1.1,4349.57,3227.18,Rejected,55
10,50-59: Pre-Retirement,55,Other,"
Based on the following customer financial profile, provide personalized financial recommendations:

Customer Profile:
- Age Group: 50-59: Pre-Retirement
- Age: 55 years
- Gender: Other
- Current Account Type: Current
- Account Balance: $9554.62
- Existing Loan: $22224.58 (Auto)
- Interest Rate: 1.92%
- Credit Limit: $4961.44
- Credit Card Balance: $2765.38
- Recent Transaction: Deposit of $1641.59

Age Group Statistics (for context):
- Average Account Balance: $4996.84
- Average Loan Amount: $24784.39
- Loan Approval Rate: 33.3%
- Average Interest Rate: 5.66%

Please provide:
1. Risk assessment based on age group and financial metrics
2. Recommended account type optimization
3. Loan refinancing opportunities
4. Credit card usage recommendations
5. Investment/savings recommendations appropriate for their age group
",9554.62,22224.58,Auto,1.92,4961.44,2765.38,Closed,10
